topic_id,label,explanation,top_words,n_successful_passes,n_requested_passes,majority_count,candidate_labels
18,View-dependent primitive visibility culling,"Top words (primitives, visibility, bounding, view, rays, voxel) and the documents describe GPU methods for determining which primitives are visible from one or more viewpoints and skipping rendering of non-visible primitives. Representative claims cover view-based visibility streams, depth/size thresholds, and temporal/bounding-polygon techniques for animated primitives to cull samples before pixel shading. The label captures the technical focus on view- and time-aware culling of geometry primitives.","primitives, primitive, surface, ray, volume, bounding, view, scene, space, rays, geometry, plane, visible, voxel, visibility",3,3,1,View-dependent primitive visibility culling | Temporal and Multi-view Primitive Culling | Multi-view primitive visibility culling
19,Logical-to-Physical GPU Memory Mapping,"Focuses on allocation and mapping of virtual memory addresses/pointers to physical GPU memory, including asynchronous allocation and memory pooling (top words: address, allocation, pointer, gpu_memory). Representative documents describe logical partitioning of GPU resources with mappings to physical servers, APIs for async memory allocation from pools, and topology-aware placement/migration with virtual-to-physical pointer mapping.","address, access, space, location, allocation, allocated, write, read, dedicated, pointer, gpu_memory, memory_memory, locations, range, memory_access",3,3,1,Logical-to-Physical GPU Memory Mapping | GPU memory allocation and virtual mapping | Virtualized distributed GPU memory management
20,Volumetric rendering via 2D textures,"Top words (texture, dimensional, texel, shader, samples, color) indicate texture-based sampling and mapping. Documents describe treating 3D/ multi-dimensional image data as flat 2D texture datasets for addressing, transforming/interpolating on GPU texture units, and using color channels/texture memory for CT back-projection. The technical focus is on implementing volumetric rendering and processing by mapping volumes onto 2D textures and leveraging GPU texture hardware.","texture, dimensional, color, sample, fragment, map, channel, textures, location, shader, samples, transformation, texture_data, texel, space",3,3,1,Volumetric rendering via 2D textures | Texture-Mapped Volume Rendering and Registration | Multi-dimensional GPU Texture Mapping
21,Batched GPU Mesh and Particle Updates,"Top words (batch, mesh, grid, update, particle, dynamic) indicate grouping of computation into batches for updating mesh/particle states. Representative documents describe GPU-based face-batch determination for overset/moving grids, interpolation and multi-physics domain division, and parallel processing units aggregating and updating estimates, matching a design focus on batched, GPU-accelerated simulation updates.","batch, initial, graphic, simulation, grid, mesh, updated, static, particle, update, dynamic, batches, calculating, engine, updating",3,3,1,Batched GPU Mesh and Particle Updates | GPU mesh overset grid batching | Batched GPU overset mesh simulation
22,GPU graphics-memory block allocation and reuse,"Top words focus on blocks, memory_addresses, allocated and variables, while documents detail GPU memory defragmentation (migrating allocated blocks into target idle blocks), graphics-memory reuse across concurrent streams, and copying block data/addresses between CPU and multiple GPUs. The common technical theme is management of GPU graphics-memory blocks—allocation, reuse, and compaction/defragmentation—to optimize device memory usage and concurrency.","block, blocks, variable, variables, graphics_memory, act, lower, offset, thread_blocks, memory_block, data_block, candidate, addresses, memory_addresses, allocated",3,3,1,GPU graphics-memory block allocation and reuse | GPU graphics memory block management | GPU memory block defragmentation and reuse
23,Runtime API for accelerator resource management,"Top words like “api”, “programming_interface”, “synchronization”, “context”, and “run” and the documents show APIs that locate/load program portions, virtualize GPUs for VMs, and configure parallel 5G‑NR operations. Together these point to runtime interfaces that manage accelerator resources, scheduling/communication, and synchronization across execution contexts rather than a generic software topic.","api, software, mode, end, algorithm, context, programming, synchronization, th, programming_interface, running, version, run, event, communication",3,3,1,Runtime API for accelerator resource management | API-driven Accelerator Virtualization and Scheduling | Accelerator API for resource and execution
24,GPU-accelerated multi-stream video processing,"Top words emphasize video/streams/encoding/decoding/frames and video_memory, and the documents describe GPU-based thread-parallel decoding, shader partitioning between devices, and dynamic GPU memory transfers of viewpoint-indexed video datasets. Together these point to designs for real-time, GPU-accelerated handling of multiple encoded video streams and frame-level processing.","video, image_data, images, resolution, stream, content, encoding, decoding, transformed, streams, encoder, purpose, encoded, frames, video_memory",3,3,1,GPU-accelerated multi-stream video processing | GPU-accelerated video streaming and decoding | GPU-accelerated multi-stream video decoding
25,SIMD Partitioning for MIMD Execution,"Representative documents describe establishing SIMD partitions of compute_nodes and booting those partitions in MIMD mode so that MIMD programs can run on an originally SIMD-only machine. Top words like partition, compute, simd, partitioning, and data_parallel emphasize partitioned compute nodes and mode switching from SIMD to MIMD. The label emphasizes the hardware/software design focus on partitioning and mode conversion to enable mixed parallel execution.","sub, compute, partition, computation, partitions, simd, compute_nodes, data_parallel, routine, compute_kernel, partitioned, mode, partitioning, requests, nodes",3,3,2,SIMD Partitioning for MIMD Execution | SIMD Partitioning for MIMD Execution | Partitioned SIMD for hybrid MIMD execution
26,Heterogeneous Memory Transfer Optimization,"Focuses on optimizing data layout, formatting, compression and transfers (e.g., padding/alignment) for queries and file/metadata across heterogeneous processors and memory arenas. Representative documents describe adding padding for SIMT execution, generating fine-grained data-transfer instructions between execution sections/blocks, and chunking/copying data to minimize cross-arena transfer time, which aligns with top words like query, compressed, format, input_data, transfer, and data_memory.","query, compressed, format, input_data, data_data, reference, database, compression, metadata, file, transfer, data_memory, copy, output_data, records",3,3,1,"Heterogeneous Memory Transfer Optimization | Memory Transfer and Data Formatting Optimization | Data transfer, formatting and compression"
27,On-chip Tiling for Depthwise-Pointwise Convs,"Top words (feature_map, convolution, depthwise, pointwise, channels, intermediate) highlight convolutional feature tiling and channel handling. The documents describe reading feature maps/kernels and computing depthwise then pointwise outputs for a predetermined number p of points based on on‑chip memory, MAC units, and splicing, indicating a hardware-aware tiling/scheduling strategy for depthwise-pointwise convolutions.","feature, map, convolution, calculation, geometry, stage, ml, cell, features, intermediate, cells, partial, points, channels, feature_map",3,3,1,On-chip Tiling for Depthwise-Pointwise Convs | Memory-aware depthwise-pointwise convolution tiling | On-chip Tiling for Separable Convolutions
28,Distributed model partitioning on heterogeneous accelerators,"Top words emphasize model training and inference, while Doc1 shows quantized model transformation for embedded inference. Doc2 describes exchanging embeddings and training across different processor types, and Doc3 details partitioning networks across multiple accelerator units based on compute vs memory intensity. The theme centers on distributing and adapting models across heterogeneous accelerator hardware for training and inference.","model, learning, training, learning_model, inference, neural, network_model, models, deep, deep_learning, trained, neural_network, training_data, artificial, dataset",3,3,1,Distributed model partitioning on heterogeneous accelerators | Heterogeneous hardware model training and deployment | Model training across heterogeneous devices
29,Triangle-based GPU Bezier Curve Rendering,"Documents and top words center on using GPUs to render quadratic Bézier curves by mapping each curve to a canonical form represented as a triangle whose three vertices are control points. Methods describe sending vertex coordinates to the GPU, evaluating barycentric/coordinate functions in shaders, and reducing/processing vertex points for efficient tessellation.","gpus, vertex, point, segment, points, path, vertices, segments, coordinate, line, curve, coordinates, triangle, vertex_shader, shader",3,3,1,Triangle-based GPU Bezier Curve Rendering | GPU triangle-based Bézier curve rendering | GPU triangle-based Bézier rasterization
