topic_id,label,explanation,top_words,n_successful_passes,n_requested_passes,majority_count,candidate_labels
10,Neighbor-Based Point Cloud Attribute Prediction,"Top words (point, point_cloud, attribute, reference, offset, distance) and the documents describe selecting neighbor/reference points and using their parameters to predict attribute and position values. The examples focus on prediction for decoding and compression (grouping shifts, reduced-point prediction, update information for compressed point clouds). The label emphasizes the technical theme of neighbor-based prediction for point-cloud attribute/position coding.","point, reference, points, cloud, attribute, point_cloud, multimedia, attributes, piece, offset, distance, data_points, cloud_data, position, data_point",3,3,2,Neighbor-Based Point Cloud Attribute Prediction | Point Cloud Attribute Prediction and Compression | Neighbor-based Point Cloud Attribute Prediction
11,Heat-pipe heat sink with airflow channels,"Top words like ""channel"", ""heat"", ""cooling"", and ""base"" match the documents, which describe heat sinks, heat pipes, chambers, fans, and TIM ejection mechanisms for electronic cooling. The patents focus on designing airflow channels, thermal isolation between sink sections, and heat-pipe-based dissipation, so the technical theme is heat-pipe heat sinks optimized by airflow channeling.","channel, base, heat, ml, ue, ai, channels, radio, fluid, station, cooling, equipment, indication, ml_model, capability",3,3,1,Heat-pipe heat sink with airflow channels | Dual-flow heat-pipe heat sink | Heat-pipe heat exchanger cooling channels
12,Predicated vector reduction and selection,"Top words like vector, vectors, dimension, distance and fingerprint plus phrases such as window/space signal vector-space operations and similarity/weighting. The representative documents describe control/predicate vectors driving multi-way comparisons (min/max), per-element reductions, and copying the last active element, indicating a focus on predicated vector reduction and selection logic.","vector, vectors, local, context, global, variable, window, gradient, raw, variables, dimension, distance, fingerprint, space, bin",3,3,1,Predicated vector reduction and selection | Predicate-masked vector reductions | Predicate-masked vector compare and select
13,Partition-Aware Parallel Hash Join,"Top words such as partition, parallel, distributed, table and query together with the documents indicate join operations in partitioned databases. The representative patents describe generating partition numbers and matching partitions, performing hash joins with SIMD probes and spooling, and redistributing/duplicating rows across processing modules. The label emphasizes the technical focus on partition-aware, parallel/distributed hash join optimizations.","sub, table, query, database, source, parallel, partition, data_data, format, metadata, input_data, log, distributed, partitions, row",3,3,1,Partition-Aware Parallel Hash Join | Partitioned Parallel Hash Join Execution | Partitioned Distributed Hash Joins
14,Invariant image feature selection for recognition,"Top words (feature, feature_map, feature_vector, descriptor, classification, similarity) point to extraction, representation and matching of image features for recognition. The documents describe selecting features robust to image alterations, quantizing feature-region/value groups for detection, and fusing backbone/pooling/dilated feature maps for semantic recognition, emphasizing invariant, discriminative feature design.","feature, images, features, map, feature_vector, classification, face, class, sample, descriptor, extracting, extracted, recognition, similarity, extraction",3,3,1,Invariant image feature selection for recognition | Robust discriminative image feature extraction | Robust image feature extraction and selection
15,Mixed-reality object tracking and compositing,"Top words (object, tracking, environment, virtual, augmented, object_image, location) and the documents (opacity-based object compositing, vision-based pointer tracking, and 3D mixed-reality reconstruction/mapping) indicate techniques for localizing and representing objects. The underlying technical focus is real-time visual object localization/tracking and image/scene compositing to integrate virtual elements with physical environments in AR/VR systems.","object, task, objects, tasks, environment, virtual, game, reality, tracking, data_object, world, physical, augmented, object_image, location",3,3,2,Augmented Reality Object Tracking and Compositing | Mixed-reality object tracking and compositing | Mixed-reality object tracking and compositing
16,Hierarchical tree-based parallel aggregation,"Top words emphasize nodes, tree, parent/child, path and parallel computation, indicating hierarchical graph structures. Representative documents describe concurrent consolidation across parent nodes and tree-topology data aggregation across processors, matching a design focus on parallel hierarchical aggregation and traversal algorithms.","node, nodes, graph, compute, edge, tree, path, child, computational, computation, parent, hierarchical, node_node, leaf, parallel",3,3,2,Hierarchical tree-based parallel aggregation | Hierarchical parallel aggregation in tree topologies | Hierarchical tree-based parallel aggregation
17,Motion-vector frame interpolation and smoothing,"Top words focus on video/frame/motion_vector/frame insertion and streaming. Doc1 describes rendering inserted frames using motion estimation and motion-vector segmentation/scaling, Doc2 uses homographic estimation and adaptive path smoothing across frames, and Doc3 deals with synchronized frame pairs — together indicating motion-compensated frame interpolation and temporal smoothing in video pipelines.","video, frame, frames, motion, video_data, content, video_frame, image_frame, stream, motion_vector, buffer, rate, video_frames, video_stream, resolution",3,3,1,Motion-vector frame interpolation and smoothing | Motion-compensated video frame interpolation | Motion-compensated frame interpolation and smoothing
18,Representation-based candidate generation and scoring,"The topic focuses on creating vector/quantized representations of text, audio, and document segments to generate and rank candidate entities or answers (top words: representation, candidate, search, audio, text, score). Representative patents describe generating phoneme/audio and quantized text representations for speech and QA, converting search results into category/search vectors and using cosine similarity scores to select candidate categories, and decoding representations into structured answers.","audio, candidate, search, text, segment, representation, document, entity, score, visual, segments, word, language, speech, template",3,3,1,Representation-based candidate generation and scoring | Structured Text Audio Representations for Retrieval | Text representations for search and speech
19,Temperature-aware Voltage and Power Management,"Top words (voltage, temperature, power, supply, management, controller) point to power/performance control. Representative patents discuss temperature-inversion VFT-based voltage adjustments, per-module SOC voltage scaling based on usage/battery, and fan control tied to power/temperature, which together describe thermal-aware voltage and power management techniques.","power, state, mode, voltage, temperature, cpu, gpu, supply, active, consumption, handling, energy, performance, management, controller",3,3,1,Temperature-aware Voltage and Power Management | Adaptive Voltage and Thermal Management | Thermal-aware Dynamic Voltage and Power Management
20,HSM-backed mutual authentication with MACs,"Top words (hash, authentication, encrypted, signature, private, token) and the documents show password/hash combination checks (Doc1), public-key nonce-based mutual authentication with encrypted/hash exchanges (Doc2), and HSM-generated MAC verification for login (Doc3). The underlying technical theme is hardware-assisted cryptographic mutual authentication and message integrity verification using hashes/MACs rather than generic security features.","message, authentication, security, encrypted, hash, secure, signature, encryption, verification, cryptographic, random, integrity, token, id, private",3,3,1,HSM-backed mutual authentication with MACs | Mutual Cryptographic Authentication Protocols | Mutual Authentication and Hash Verification
21,Adaptive mitigation selection for vulnerabilities,"Documents describe platforms, agents, and SDKs that identify vulnerabilities and present/apply diverse mitigation actions (patches, policies, intrusion prevention, firewall) to reduce false-positives. Top words like algorithm, monitoring, metrics, optimization, and action indicate an emphasis on automated analysis and performance-driven selection of mitigation strategies. Together these point to an adaptive, metric-guided system for choosing vulnerability mitigations.","performance, test, algorithm, analysis, action, metric, model, simulation, monitoring, learning, product, medical, metrics, optimization, behavior",3,3,1,Adaptive mitigation selection for vulnerabilities | Automated vulnerability mitigation selection system | Vulnerability-based Mitigation Orchestration
22,MAC/PHY Interface Bridge Controller,"Top words like controller, bus, layer, link, transfer and command point to inter-layer communications and protocol bridging. Representative claims describe a bridge converting PLx streams to a multiport I/O controller with transmit/receive FIFOs and DMA, multi-rate MAC lane selection, and a PHY block that buffers data and wakes the controller to transfer it. The theme is hardware for MAC/PHY interface bridging and controlled data transfer across bus/link protocols.","controller, host, command, bus, transmission, layer, protocol, link, remote, transfer, usb, transmitting, transmit, communications, commands",3,3,1,MAC/PHY Interface Bridge Controller | MAC/PHY Layer Interface Bridge | MAC/PHY Bus Bridge and Controller
23,Virtualized MAC Mobility and Encapsulation,"Top words (virtual, packet, mac_address, ip, destination, host, vm) point to packet/address handling in virtual networks. The documents describe host-based MAC learning, NIC teaming and MAC-move handling, VM migration with encapsulation and multicast, and rewriting packet source/destination to route through network appliances, i.e., MAC/IP mobility and overlay encapsulation.","virtual, packet, ip, mac_address, physical, destination, packets, port, traffic, ip_address, switch, host, vm, protocol, source",3,3,1,Virtualized MAC Mobility and Encapsulation | VM MAC/IP Address Learning and Steering | Host-based virtual networking and MAC management
24,Delta-Sigma Frequency Synthesis and Filtering,"The top words (digital, frequency, sample, noise, filter, loop, band, phase) and documents describe sigma-delta/delta-sigma modulators used for digital frequency pattern generation and D/A conversion. Representative patents detail delta-sigma modulators, DACs, noise-shaped spectral control, and using modulated streams to probe or synthesize frequency content. The technical focus is on noise-shaping, modulator stages/loops, and filter/DAC design for frequency synthesis and signal conditioning.","digital, frequency, stream, domain, filter, sample, samples, phase, stage, noise, series, data_stream, analog, loop, band",3,3,1,Delta-Sigma Frequency Synthesis and Filtering | Sigma-Delta Modulation and Digital Frequency Synthesis | Delta-Sigma Modulators and DACs
25,World-space coordinate mapping for rendering,"Focuses on transforming spatial coordinates and meshes (coordinates, position, grid, depth, texture, volume) into renderable views. Representative claims cover spherical-to-cube map projection, cut‑plane intersections for volumetric data, and GPU tessellation/triangle rendering for surface/scene rendering.","dimensional, rendering, depth, surface, position, map, scene, texture, mesh, space, view, grid, coordinate, coordinates, volume",3,3,2,3D spatial coordinate mapping for rendering | World-space coordinate mapping for rendering | World-space coordinate mapping for rendering
26,Integer-scaled transform matrices for DCT,"Top words (matrix, scaling, integer, transform, floating_point, factor) and documents focus on N-/8-point DCT implementations that form integer transformation matrices by scaling floating-point coefficients, using internal factors and power-of-two shifts. The patents describe fixed-point hardware-friendly designs (rounding, descaling, even/odd factorization) to replace floating-point transforms in codec and FFT/DCT pipelines.","matrix, point, intermediate, factor, floating, transform, floating_point, partial, scaling, integer, row, transformation, product, linear, column",3,3,1,Integer-scaled transform matrices for DCT | Fixed-point Scaled Transform Matrix | Integer-scaled DCT transform matrices
27,Device-based authentication and service mediation,"Top words (server, identifier, client, content, request, devices, profile, session) indicate linking device identifiers with server-side profiles and routed service requests. Documents show persisting/associating persistent device identifiers to user accounts, authorizing access based on device uniqueness, and an interchange server providing a common API to mediate access to multiple service-offering servers, which fits device-based authentication plus request/service mediation.","server, identifier, client, content, service, request, location, devices, unique, web, remote, profile, database, session, servers",3,3,1,Device-based authentication and service mediation | Persistent Device-ID Authentication for Service Access | Persistent Device Identifier Association
28,Victim Caching Across Cache Hierarchies,"Covers mechanisms for moving cache lines between memory hierarchies (cast in/out, push and direct intervention requests) to service loads and reduce misses. Describes eviction engines, per-line indicators and control logic that manage reads/writes and maintain coherency during cache line transfers.","cache, request, read, line, write, buffer, page, cache_line, entry, cache_memory, hierarchy, memory_memory, controller, shared, memory_access",3,3,1,Victim Caching Across Cache Hierarchies | Victim Caching and Cache Eviction Coordination | Victim caching and cross-hierarchy data push
29,Asymmetric block transform inverse-quantization,"Top words (block, quantization, transform, coefficients, residual) point to block-based transform coding and coefficient quantization. The documents describe dividing coding blocks (including asymmetric 1/4–3/4 splits), selecting weight-set candidates for inverse-quantization, performing inverse-transform on coefficients, and reconstructing residuals/predictions during image decoding.","block, encoding, quantization, encoded, compression, compressed, decoding, coding, transform, prediction, coefficients, quantized, residual, picture, coefficient",3,3,1,Asymmetric block transform inverse-quantization | Asymmetric Block Transform Decoding | Block-based image decoding with adaptive quantization
